id,ma_khach_hang,noi_dung_binh_luan,noi_dung_binh_luan_stopword,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,sentiment_label,positive_score,negative_score,sentiment,lenght,day_of_week,time_group,day_group
18214,2613,da nhạy cảm cân nhắc tại rửa xong khá căng mặt,nhạy_cảm cân_nhắc rửa căng mặt,2022-05-11,21:40,2,422203506,negative,0,1,negative,30,Wednesday,2,2
18215,326,không ý_kiến,không,2020-09-08,14:56,5,205100137,positive,0,0,positive,5,Tuesday,2,3
18216,2455,không ý_kiến,không,2020-02-12,17:06,5,308500013,positive,0,0,positive,5,Wednesday,2,2
18217,2871,Sd sữa rửa mặt xong da sạch cực kì,sữa rửa mặt sạch,2020-12-05,17:40,5,308500001,positive,1,0,positive,16,Saturday,2,1
18218,2330,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ.",dễ_dàng thoải_mái thư_giãn,2023-05-03,16:20,5,422202253,positive,2,0,positive,26,Wednesday,2,2
18219,1800,"Chất lượng trung bình, chưa đạt kỳ vọng của tôi.",chất_lượng bình không_đạt kỳ_vọng,2023-04-11,15:55,2,422206537,negative,1,1,negative,33,Tuesday,2,3
18220,134,Giao hàng siu nhanh còn được tặng quà đặt shop chai thứ 3 rồi,hàng tặng quà shop,2023-07-20,15:03,5,205100136,positive,0,0,positive,18,Thursday,2,3
18221,1001,"Da mình dầu nhiều vùng chữ T xài con này vẫn đổ dầu chứ ko kiềm hẳn đâu, tầm 4 tiếng là bóng rồi. Chất kem hơi dày nên bôi hơi nặng mặt lúc đầu từ từ tệp da mới đỡ. Finish đẹp như cà filter ko nâng tone cũng ko xuống tone. Hơi bết nếu đeo khẩu trang. Tóm lại là 8/10 điểm => có thể mua lại",dầu chữ đổ dầu không_kiềm hẳn tầm tiếng_là bóng chất hơi dày bôi_hơi nặng_mặt đầu_từ tệp đỡ finish đẹp cà_filter không_nâng_tông không_xuống tone hơi bết đeo_khẩu tóm_lại,2023-08-30,21:09,3,422200236,neutral,1,3,neutral,170,Wednesday,2,2
18222,2598,"Sản phẩm mềm , dùng tốt",mềm tốt,2018-10-09,14:43,5,207500001,positive,1,0,positive,7,Tuesday,2,3
18223,830,"Texture mỏng, thấm nhanh. Cảm giác lúc đầu có nâng tông nhẹ nhưng sau 4-5p set hoàn toàn vào da hầu như trong suốt. Mình thấy kiềm dầu đến cuối ngày da không bị xỉn, cũng không bị vàng cổ áo. Có điều giá đợt này hơi cao mong hãng có thêm ưu đãi",texture mỏng thấm_cảm_giác đầu nâng tông nhẹ set hầu_như suốt kiềm dầu xỉn không_bị vàng cổ áo giá đợt hơi hãng,2024-05-18,20:14,5,422218358,positive,1,0,positive,111,Saturday,2,1
18224,188,cám ơn shop em đã nhận hàng rồi Tẩy Trang senka mẫu mới huy vọng sẽ tốt,cám_ơn shop hàng tẩy senka_mẫu vọng tốt,2022-10-21,12:06,5,223600026,positive,1,0,positive,39,Friday,2,2
18225,2587,Hồi đá da kích ứng đỏ dùng lên tý là đỡ ngay mà vòi dùng thích cực kỳ luôn,hồi đá kích_ứng đỏ tý vòi thích cực_kỳ,2022-03-15,0:24,5,100150091,positive,1,1,positive,38,Tuesday,3,3
18226,1564,"Srm này mình đã xài đc 3 chai rồi, rất là dịu nhẹ luôn, phù hợp vs túi tiền của hs như mình, mng nên mua thử xài nha",dịu nhẹ túi_tiền thử,2022-02-07,20:43,5,211300007,positive,2,0,positive,20,Monday,2,1
18227,545,Không biết mặt nạ có tác dụng thải độc không mà mình đắp một lúc thấy mặt nóng bừng,mặt_nạ tác_dụng thải độc không_mà đắp mặt,2021-05-15,20:22,3,365000020,neutral,0,1,neutral,41,Saturday,2,1
18228,2285,"Theo cảm nhận của mình, độ tạo bọt tốt,da ẩm mượt, về mùi hương thì khá thơm, mua được giá tốt 228 cành chai 200ml, khá ưng. Mình rất thích những sản phẩm của Bioderma",cảm_nhận độ bọt tốt ẩm_mượt mùi hương thơm_được_giá tốt cành ưng thích,2023-11-09,20:15,5,422205932,positive,5,0,positive,70,Thursday,2,3
